dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,7,12000,24000,0.9883,0.0971,0.1780,0.0161,0.9162,0.0075,0.0045,0.9986
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s0,8,36000,24000,0.9939,0.1079,0.2112,0.0046,0.9090,0.0029,0.0059,0.9980
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s1,8,36000,24000,0.9935,0.0964,0.1888,0.0039,0.9188,0.0024,0.0044,0.9985
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s2,8,36000,24000,0.9896,0.1442,0.2828,0.0057,0.8785,0.0041,0.0054,0.9980
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s3,8,36000,24000,0.9949,0.1098,0.2163,0.0032,0.9077,0.0020,0.0038,0.9988
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,1,12000,24000,0.8816,0.2164,0.2990,0.1337,0.7972,0.1244,0.0013,0.9997
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,1,12000,24000,0.9767,0.0994,0.1761,0.0226,0.9132,0.0158,0.0065,0.9982
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s1,1,12000,24000,0.9640,0.0979,0.1407,0.0551,0.9091,0.0325,0.0030,0.9992
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s2,1,12000,24000,0.9586,0.1195,0.1877,0.0514,0.8916,0.0322,0.0077,0.9976
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-freq-s4,2,12000,24000,0.9560,0.1006,0.1512,0.0499,0.9077,0.0346,0.0049,0.9984
CelebA-Spoof,xtype,3DMask+Phone+A4,resnet50,IBT-reverse-s0,2,12000,24000,0.9708,0.1089,0.2025,0.0153,0.9065,0.0105,0.0010,0.9998
